id;inscripcion;prueba_experimental;exmanen_evaluacion;dictamen;concesion;denegado;reclamacion;anulacion;fecha_notificacion;feca_certificado;observacion
1;end-to-end Navarra;unleash scalable;nivel Ergonómico metrics;Negro;false;true;true;true;2022-10-16;2022-10-16;sensor invoice architectures
2;Analista núcleo Director;Silla Multi;Electrónica calculate;Bedfordshire Genérico;true;true;false;true;2022-10-16;2022-10-16;JBOD withdrawal
3;Pantalones relationships;mission-critical;redundant;Artesanal;false;true;true;true;2022-10-16;2022-10-16;redundant
4;tiempo;services Calidad Chalet;Bebes canal;Increible facilitate;false;true;true;false;2022-10-16;2022-10-15;Gris
5;recontextualize;Desarrollador;Account;Director Prolongación redundant;true;true;true;true;2022-10-15;2022-10-15;Bedfordshire Pescado Reducido
6;Amarillo online;Muelle;CSS;Ladrillo;false;true;false;false;2022-10-16;2022-10-16;Métricas
7;Franc;Práctico Música;asíncrona back-end;RSS Algodón;true;true;false;false;2022-10-16;2022-10-16;drive haptic
8;Money Salud mobile;Ingeniero AI Implementación;compressing;Madera Cambridgeshire;true;true;false;true;2022-10-15;2022-10-16;contingencia
9;Marca Cambridgeshire;synthesizing Productor;cross-platform withdrawal;La Investment;true;true;true;false;2022-10-16;2022-10-16;Música Refinado
10;deliver connect;empower orchestrate;Galicia Ladrillo;Moldovan extranet;true;true;false;true;2022-10-16;2022-10-15;Apartamento Bebes
